ID,Faixa_Etaria,Genero,Tipo_Problema,Problema_Detalhado,Frequencia,Impacto (1-5),Recorrente,Recebeu_Lembrete,Sugestao_Melhoria
1,25-34,F,Tecnológico,"""Áudio cortando durante a consulta""",3,4,Sim,Sim,Teste de conexão antes da consulta
2,45-54,M,Agendamento,"""Cancelamento automático sem explicação""",1,5,Não,Não,Notificar usuário sobre cancelamentos
3,65+,F,Usabilidade,"""Dificuldade para encontrar o botão de entrar na videochamada""",2,3,Sim,Sim,Interface mais simplificada para idosos
4,18-24,M,Privacidade,"""Preocupação com gravação das sessões""",1,5,Não,-,Esclarecer política de privacidade antes da sessão
5,35-44,F,Atendimento,"""Não consegue retornar ao médico da consulta anterior""",2,4,Sim,Não,Sistema de favoritos para profissionais
6,55-64,M,Pagamento,"""Cobrança duplicada no cartão de crédito""",1,5,Não,-,Implementar confirmação de pagamento
7,25-34,NB,Tecnológico,"""Vídeo travou no meio da consulta""",4,5,Sim,Sim,Oferecer opção para reconectar automaticamente
8,45-54,F,Agendamento,"""Não recebi o lembrete da consulta por SMS e acabei faltando.""",1,5,Não,Não,Melhorar confiabilidade do sistema de SMS
9,35-44,M,Clínico,"""Médico não tinha acesso ao meu histórico anterior na plataforma.""",1,4,Não,-,Integrar prontuários eletrônicos entre profissionais
10,65+,F,Usabilidade,"""Não consigo aumentar a fonte do app para ler as mensagens.""",2,3,Sim,-,Implementar modo de acessibilidade no app
